PID,Age,Gender,Phone,Handedness,ThumbPadWidth,IndexThumbLength,ThumbIndexSpan,ThumbPinkySpan,PalmWidth,PalmLength,ThumbLength,IndexLength,MiddleLength,RingLength,PinkyLength
1,24,Female,Android,Right,1.4,10.7,10.5,18.0,7.6,10.7,5.5,7.2,7.8,7.2,5.6
2,29,Female,iPhone 7 Plus,Right,1.8,10.0,12.5,15.4,8.6,10.4,6.0,6.8,7.4,6.8,5.4
3,26,Female,Huawei P5 Lite,Right,1.8,8.5,12.7,17.9,7.6,10.0,6.2,6.7,7.1,6.6,5.4
4,23,Female,Huawei P10,Right,2.1,10.9,9.0,15.5,7.9,10.8,6.2,6.9,7.1,6.5,5.7
5,19,Female,i(phone?) Plus,Right,1.4,9.6,9.2,15.5,7.4,9.0,6.2,6.4,7.1,6.9,5.6
6,27,Male,Samsung Galaxy A3,Left,2.3,13.2,12.0,22.3,9.3,10.9,7.0,8.2,9.1,8.4,7.4
7,24,Female,HTC One,Right,1.8,10.9,12.2,18.2,8.0,9.5,6.0,7.0,7.5,7.1,5.5
8,28,Male,Huawei P10,Right,2.2,12.4,13.1,22.2,8.2,11.1,6.4,8.0,8.6,8.1,6.9
9,68,Male,LG,Right,2.7,10.7,13.3,21.5,9.7,12.0,7.0,7.7,8.6,8.1,6.2
10,25,Male,OnePlus One,Right,2.1,12.2,14.0,20.7,10.2,11.7,7.3,7.8,8.3,7.4,6.0
11,27,Male,Samsung S6,Right,2.1,11.7,13.5,20.3,9.5,11.4,7.0,7.5,8.5,7.7,6.1
12,27,Male,Samsung galaxy 8,Right,2.1,10.9,12.1,18.7,9.0,11.5,6.8,7.3,8.1,7.9,6.7
13,21,Female,Samsung galaxy j5,Right,1.5,10.0,11.1,17.2,7.8,9.9,6.4,7.0,7.5,6.8,5.7
14,25,Female,Samsung galaxy S7 edge,Right,2.0,10.2,10.0,16.1,7.8,10.3,5.8,6.8,7.5,6.7,6.0
15,25,Male,HTC One,Right,2.2,12.0,14.5,20.4,8.7,11.2,6.7,7.7,9.0,8.1,6.9
16,26,Female,iPhone 6S,Right,2.0,10.6,11.0,18.0,7.3,9.6,5.4,6.4,7.1,6.7,5.2
17,33,Male,Xiaomi A5 plus,Right,1.9,12.0,13.5,18.2,8.9,11.8,7.2,7.5,8.3,7.6,6.4
18,27,Male,iPhone 7,Right,2.3,11.1,11.4,16.9,9.2,10.4,6.7,7.4,8.0,7.4,5.9
19,33,Male,HTC,Right,2.1,10.6,10.7,17.4,8.5,10.2,6.5,7.4,8.3,7.7,6.5
20,47,Female,Huawei Android,Right,1.9,9.5,13.0,18.5,8.2,9.8,6.3,6.8,7.1,6.6,5.4
21,24,Male,OnePlus,Left,2.2,12.0,10.7,16.5,8.2,10.9,6.7,7.6,8.4,7.7,6.5
22,30,Transman,Samsung 4S mini,Left,2.2,10.9,9.1,15.9,7.7,10.7,6.2,7.1,8.2,7.5,6.3
23,27,Male,iPhone 6s,Right,2.1,12.8,13.1,21.6,8.8,11.0,6.5,7.7,8.2,7.7,6.2
24,30,Male,Fairphone 2,Right,2.1,11.7,10.9,16.8,9.3,10.8,6.0,7.5,8.3,7.6,6.1
25,33,Male,Nexus 5,Right,2.0,13.8,18.8,23.8,9.8,11.4,7.8,8.5,9.2,8.5,6.5
26,32,Male,Motorola MotoG3,Left,1.9,11.3,10.5,15.2,8.8,11.0,6.3,7.9,8.6,8.0,6.5
27,23,Male,OnePlus One,Right,2.0,9.4,9.5,14.1,7.7,10.0,6.1,6.4,7.6,6.7,5.7
